,Entity,Code,Year,Animal protein,Plant protein,Fat,Carbohydrates,Protein
0,France,FRA,2007,285.96,156.44,1443.69,1579.91,442.4
1,France,FRA,2008,285.12,165.2,1505.97,1594.71,450.32
2,France,FRA,2009,285.36,159.4,1485.99,1599.25,444.76
3,France,FRA,2010,283.84,168.8,1471.05,1612.31,452.64
4,France,FRA,2011,281.64,165.64,1452.42,1614.3,447.28
5,Germany,DEU,2007,248.0,161.96,1314.0,1803.04,409.96000000000004
6,Germany,DEU,2008,245.52,159.6,1296.99,1814.89,405.12
7,Germany,DEU,2009,249.36,160.88,1285.29,1819.47,410.24
8,Germany,DEU,2010,247.36,160.2,1296.9,1799.54,407.56
9,Germany,DEU,2011,248.92,163.84,1310.85,1814.39,412.76
10,Italy,ITA,2007,239.52,203.4,1407.6,1767.48,442.92
11,Italy,ITA,2008,240.32,202.04,1403.01,1749.63,442.36
12,Italy,ITA,2009,239.72,208.32,1374.57,1776.39,448.03999999999996
13,Italy,ITA,2010,245.04,201.56,1408.5,1727.9,446.6
14,Italy,ITA,2011,240.24,199.28,1417.86,1717.62,439.52
15,Netherlands,NLD,2007,282.8,141.28,1184.67,1628.25,424.08000000000004
16,Netherlands,NLD,2008,294.64,137.36,1194.3,1601.7,432.0
17,Netherlands,NLD,2009,304.52,138.24,1142.82,1627.42,442.76
18,Netherlands,NLD,2010,288.08,142.96,1126.08,1650.88,431.03999999999996
19,Netherlands,NLD,2011,284.52,143.28,1102.23,1681.97,427.79999999999995
20,Poland,POL,2007,201.92,196.44,1006.83,1958.81,398.36
21,Poland,POL,2008,197.64,194.2,1009.62,1944.54,391.84
22,Poland,POL,2009,205.44,197.2,1048.68,1966.68,402.64
23,Poland,POL,2010,209.16,195.88,1054.62,1953.34,405.03999999999996
24,Poland,POL,2011,211.72,197.52,1063.08,1970.68,409.24
25,Russia,RUS,2007,205.84,188.24,845.73,2069.19,394.08000000000004
26,Russia,RUS,2008,210.52,187.72,857.88,2055.88,398.24
27,Russia,RUS,2009,212.64,185.84,862.47,2012.05,398.48
28,Russia,RUS,2010,216.8,187.04,898.2,1999.96,403.84000000000003
29,Russia,RUS,2011,216.88,188.16,909.27,2016.69,405.03999999999996
30,Spain,ESP,2007,289.0,155.96,1325.52,1452.52,444.96000000000004
31,Spain,ESP,2008,272.36,159.96,1297.89,1477.79,432.32000000000005
32,Spain,ESP,2009,271.4,160.68,1298.52,1474.4,432.08
33,Spain,ESP,2010,269.64,158.2,1296.09,1459.07,427.84
34,Spain,ESP,2011,265.28,158.24,1299.06,1469.42,423.52
35,Switzerland,CHE,2007,239.36,136.72,1400.94,1650.98,376.08000000000004
36,Switzerland,CHE,2008,239.52,134.16,1427.85,1643.47,373.68
37,Switzerland,CHE,2009,239.76,138.8,1410.3,1676.14,378.56
38,Switzerland,CHE,2010,243.08,136.12,1412.55,1656.25,379.20000000000005
39,Switzerland,CHE,2011,240.72,141.72,1426.5,1682.06,382.44
40,Turkey,TUR,2007,115.84,294.84,1021.59,2197.73,410.67999999999995
41,Turkey,TUR,2008,110.64,291.48,992.97,2199.91,402.12
42,Turkey,TUR,2009,112.48,290.4,1012.5,2205.62,402.88
43,Turkey,TUR,2010,122.2,291.76,1023.84,2212.2,413.96
44,Turkey,TUR,2011,129.56,288.28,1085.58,2170.58,417.84
45,United Kingdom,GBR,2007,238.2,179.6,1267.56,1731.64,417.79999999999995
46,United Kingdom,GBR,2008,230.76,180.76,1261.26,1749.22,411.52
47,United Kingdom,GBR,2009,230.36,178.0,1257.66,1745.98,408.36
48,United Kingdom,GBR,2010,231.72,176.52,1280.79,1714.97,408.24
49,United Kingdom,GBR,2011,234.28,177.44,1243.26,1762.02,411.72
