,Entity,Code,Year,Deaths
0,Afghanistan,AFG,2007,707.1887744156472
1,Afghanistan,AFG,2008,693.4486633402319
2,Afghanistan,AFG,2009,677.8455070037222
3,Afghanistan,AFG,2010,662.6169460672356
4,Afghanistan,AFG,2011,649.7256283950474
5,Albania,ALB,2007,339.92898628267847
6,Albania,ALB,2008,336.9151425160443
7,Albania,ALB,2009,328.2437002196052
8,Albania,ALB,2010,322.9100936249887
9,Albania,ALB,2011,319.5234783684484
10,Algeria,DZA,2007,328.0785536626354
11,Algeria,DZA,2008,321.7407348770121
12,Algeria,DZA,2009,316.0801114289973
13,Algeria,DZA,2010,312.1666276326917
14,Algeria,DZA,2011,308.24527141780527
15,American Samoa,ASM,2007,293.78140079249386
16,American Samoa,ASM,2008,292.9102078839575
17,American Samoa,ASM,2009,295.1075197080167
18,American Samoa,ASM,2010,293.2410817999249
19,American Samoa,ASM,2011,290.98838520963267
20,Andean Latin America,,2007,139.5196162626212
21,Andean Latin America,,2008,137.69866594473652
22,Andean Latin America,,2009,138.08218360659404
23,Andean Latin America,,2010,136.63477612596049
24,Andean Latin America,,2011,133.12499307660542
25,Andorra,AND,2007,116.45790568327288
26,Andorra,AND,2008,115.26230603449204
27,Andorra,AND,2009,114.67329318514226
28,Andorra,AND,2010,113.73267474165456
29,Andorra,AND,2011,112.74813181004528
30,Angola,AGO,2007,344.0177958804548
31,Angola,AGO,2008,336.45149025591
32,Angola,AGO,2009,328.7227314097413
33,Angola,AGO,2010,320.4132891808989
34,Angola,AGO,2011,313.3852881223626
35,Antigua and Barbuda,ATG,2007,216.4138203728835
36,Antigua and Barbuda,ATG,2008,211.76348754056104
37,Antigua and Barbuda,ATG,2009,207.54217839861303
38,Antigua and Barbuda,ATG,2010,205.52668853072169
39,Antigua and Barbuda,ATG,2011,203.3597534971105
40,Argentina,ARG,2007,220.58605916197632
41,Argentina,ARG,2008,208.6275457423506
42,Argentina,ARG,2009,206.36221319236185
43,Argentina,ARG,2010,204.90610072248003
44,Argentina,ARG,2011,203.15827893605228
45,Armenia,ARM,2007,410.7912114918932
46,Armenia,ARM,2008,404.1899270019015
47,Armenia,ARM,2009,396.2587896301043
48,Armenia,ARM,2010,387.9319923084978
49,Armenia,ARM,2011,376.0225939638779
50,Australasia,,2007,136.71715634687064
51,Australasia,,2008,133.0163377829251
52,Australasia,,2009,127.1465040204357
53,Australasia,,2010,121.3892329215499
54,Australasia,,2011,118.36283320186624
55,Australia,AUS,2007,132.3012377177785
56,Australia,AUS,2008,128.87124858414043
57,Australia,AUS,2009,123.11319324260546
58,Australia,AUS,2010,117.45300380284192
59,Australia,AUS,2011,114.22736217455169
60,Austria,AUT,2007,182.02711135022795
61,Austria,AUT,2008,176.0832285350273
62,Austria,AUT,2009,174.68304982972668
63,Austria,AUT,2010,167.38241724058025
64,Austria,AUT,2011,163.1627366728858
65,Azerbaijan,AZE,2007,632.7240968473106
66,Azerbaijan,AZE,2008,622.4219068811262
67,Azerbaijan,AZE,2009,611.7261451536234
68,Azerbaijan,AZE,2010,609.1467408870304
69,Azerbaijan,AZE,2011,605.5031570424541
70,Bahamas,BHS,2007,238.18284162503525
71,Bahamas,BHS,2008,239.99590365773585
72,Bahamas,BHS,2009,243.75022088929
73,Bahamas,BHS,2010,242.46446189107127
74,Bahamas,BHS,2011,242.43968422508956
75,Bahrain,BHR,2007,225.0882863510887
76,Bahrain,BHR,2008,208.49137221909623
77,Bahrain,BHR,2009,192.43557254973504
78,Bahrain,BHR,2010,182.6155733912268
79,Bahrain,BHR,2011,176.23348611253166
80,Bangladesh,BGD,2007,373.25649686505847
81,Bangladesh,BGD,2008,379.737176746476
82,Bangladesh,BGD,2009,376.6876934618824
83,Bangladesh,BGD,2010,376.86746970491913
84,Bangladesh,BGD,2011,356.17831742916024
85,Barbados,BRB,2007,177.09737929280433
86,Barbados,BRB,2008,174.61983293938104
87,Barbados,BRB,2009,168.1275651331869
88,Barbados,BRB,2010,167.1036026195839
89,Barbados,BRB,2011,167.65093521246894
90,Belarus,BLR,2007,533.5044173085569
91,Belarus,BLR,2008,529.8612341043505
92,Belarus,BLR,2009,532.6357129117062
93,Belarus,BLR,2010,532.9338282837558
94,Belarus,BLR,2011,536.5877189951019
95,Belgium,BEL,2007,147.7222007107612
96,Belgium,BEL,2008,144.98724518090384
97,Belgium,BEL,2009,140.4508045327241
98,Belgium,BEL,2010,134.30330468888724
99,Belgium,BEL,2011,131.49166505787147
100,Belize,BLZ,2007,205.52240805561843
101,Belize,BLZ,2008,196.5092962253721
102,Belize,BLZ,2009,194.2568651145384
103,Belize,BLZ,2010,188.96947709810053
104,Belize,BLZ,2011,184.512295680175
105,Benin,BEN,2007,255.11024660902265
106,Benin,BEN,2008,252.73684101521863
107,Benin,BEN,2009,251.69355593674885
108,Benin,BEN,2010,250.51058469207123
109,Benin,BEN,2011,250.7336839838634
110,Bermuda,BMU,2007,169.2612498042718
111,Bermuda,BMU,2008,161.50505978938173
112,Bermuda,BMU,2009,155.52615674035945
113,Bermuda,BMU,2010,149.83421824213383
114,Bermuda,BMU,2011,147.39535680313864
115,Bhutan,BTN,2007,241.88018146388217
116,Bhutan,BTN,2008,239.0700441122992
117,Bhutan,BTN,2009,237.51009061403704
118,Bhutan,BTN,2010,235.0587515070944
119,Bhutan,BTN,2011,232.6284580102543
120,Bolivia,BOL,2007,225.2840883731811
121,Bolivia,BOL,2008,222.5691467794306
122,Bolivia,BOL,2009,220.0410974718937
123,Bolivia,BOL,2010,217.68002394180067
124,Bolivia,BOL,2011,215.3710360758513
125,Bosnia and Herzegovina,BIH,2007,348.324991963952
126,Bosnia and Herzegovina,BIH,2008,337.29642860827016
127,Bosnia and Herzegovina,BIH,2009,344.75819386746696
128,Bosnia and Herzegovina,BIH,2010,342.10822252962083
129,Bosnia and Herzegovina,BIH,2011,339.55641554295966
130,Botswana,BWA,2007,242.17346366574048
131,Botswana,BWA,2008,253.45420633761697
132,Botswana,BWA,2009,260.2091956820375
133,Botswana,BWA,2010,261.2581213926136
134,Botswana,BWA,2011,262.3706376750039
135,Brazil,BRA,2007,206.55243654298803
136,Brazil,BRA,2008,201.9912989648133
137,Brazil,BRA,2009,198.4519346394022
138,Brazil,BRA,2010,195.5421421384889
139,Brazil,BRA,2011,192.26077133505785
140,Brunei,BRN,2007,224.26380980875464
141,Brunei,BRN,2008,219.1366468670429
142,Brunei,BRN,2009,216.21878218243447
143,Brunei,BRN,2010,212.2082688340413
144,Brunei,BRN,2011,210.37466052160252
145,Bulgaria,BGR,2007,512.3670656638686
146,Bulgaria,BGR,2008,492.89069620335295
147,Bulgaria,BGR,2009,477.9615584543789
148,Bulgaria,BGR,2010,471.6960762974449
