,Countries,Units,2007,2008,2009,2010,2011
1,Afghanistan,kg,3.48,2.39,2.9,3.4,3.2
2,Albania,kg,7.0,6.3,7.0,5.7,5.4
3,Algeria,kg,13.6,13.7,12.3,13.3,14.9
4,Angola,kg,9.05,8.63,8.9,8.8,8.8
5,Argentina,kg,14.6,14.5,14.4,14.5,14.8
6,Armenia,kg,7.4,7.1,7.1,7.4,7.8
7,Australia,kg,21.8,21.0,22.9,22.9,23.9
8,Austria,kg,22.0,23.1,23.5,24.2,22.3
9,Azerbaijan,kg,2.9,2.6,1.9,2.5,2.3
10,Bahamas,kg,5.85,5.75,5.7,5.6,5.5
11,Bangladesh,kg,5.99,5.82,6.2,5.9,6.2
12,Belarus,kg,15.7,15.5,13.1,15.3,17.4
13,Belgium,kg,21.9,23.1,23.5,18.6,22.6
14,Belize,kg,5.49,6.33,7.2,6.7,7.4
15,Benin,kg,7.01,7.58,6.9,7.3,7.5
16,Bolivia,kg,2.89,3.15,3.0,2.8,5.2
17,Bosnia and Herzegovina,kg,7.5,7.8,6.8,7.5,7.3
18,Botswana,kg,9.4,9.31,9.2,8.6,10.1
19,Brazil,kg,17.3,17.8,17.5,17.5,17.5
20,Brunei,kg,13.12,12.89,12.7,12.5,9.8
21,Bulgaria,kg,15.2,10.4,16.1,12.5,12.6
22,Burkina Faso,kg,5.05,6.06,5.4,6.4,6.3
23,Cambodia,kg,2.04,1.87,1.9,2.0,1.9
24,Cameroon,kg,8.22,8.73,8.8,9.0,9
25,Canada,kg,24.5,24.8,25.0,26.2,26.1
26,Central African Republic,kg,12.17,12.9,12.4,12.2,11.7
27,Chad,kg,3.82,3.96,3.5,3.3,3.4
28,Chile,kg,8.6,7.8,7.9,7.6,7.7
29,China,kg,8.1,7.7,8.2,8.0,8.1
30,Colombia,kg,13.27,13.36,12.8,14.3,14.4
31,Congo,kg,11.44,9.55,9.0,9.0,9
32,Costa Rica,kg,14.12,13.9,13.7,13.9,14.1
33,Croatia,kg,14.7,16.1,13.6,11.1,11.1
34,Cuba,kg,7.34,3.63,5.6,6.6,7.2
35,Cyprus,kg,14.11,14.86,17.4,18.1,17.9
36,Czech Republic,kg,20.4,21.3,20.7,23.5,22.2
37,Dem. People's Republic of Korea,kg,5.24,5.68,5.4,5.4,5.5
38,Denmark,kg,7.9,7.1,8.5,6.7,7.5
39,Djibouti,kg,13.77,14.81,14.6,12.0,11.8
40,Dominican Republic,kg,17.21,18.0,17.8,17.8,19.4
41,East Timor,kg,3.86,3.81,3.8,3.7,4.6
42,Ecuador,kg,15.0,15.78,15.2,15.4,16.1
43,Egypt,kg,5.6,5.6,5.6,5.8,6.1
44,El Salvador,kg,6.7,5.69,5.8,5.2,5.9
45,Estonia,kg,8.4,8.4,7.7,6.9,6.2
46,Ethiopia,kg,2.0,2.92,2.4,2.6,3.1
47,European Union,kg,19.18,19.72,19.9,20.0,20.1
48,Fiji,kg,10.78,9.48,10.6,9.3,9.2
49,Finland,kg,10.8,10.3,10.3,10.1,9.8
50,France,kg,20.6,21.0,21.5,21.1,21
51,Gabon,kg,6.22,4.72,5.3,5.8,5.7
52,Gambia,kg,16.35,13.94,16.0,16.7,17.3
