,Entity,Year,Animal protein,Plant protein,Total Fat,Total Carbohydrates,Total Protein,Vegetable Oil,Health Care Index,Deaths,VO%
0,France,2007,285.96,156.44,1443.69,1579.91,442.4,507.94520547945206,65.38,112.36684463755904,35.18381407916188
1,France,2008,285.12,165.2,1505.97,1594.71,450.32,517.8082191780821,65.38,110.08266215323516,34.383700815957965
2,France,2009,285.36,159.4,1485.99,1599.25,444.76,530.1369863013699,65.38,107.88848726539804,35.675676572612865
3,France,2010,283.84,168.8,1471.05,1612.31,452.64,520.2739726027397,65.38,104.15362891813724,35.36752473421976
4,France,2011,281.64,165.64,1452.42,1614.3,447.28,517.8082191780821,65.38,101.18268253747624,35.65141069236737
5,Germany,2007,248.0,161.96,1314.0,1803.04,409.96,451.2328767123288,52.3,176.24897379016062,34.34040157628073
6,Germany,2008,245.52,159.6,1296.99,1814.89,405.12,461.09589041095893,52.3,173.19597482667635,35.55122941664615
7,Germany,2009,249.36,160.88,1285.29,1819.47,410.24,446.3013698630137,52.3,169.85368389564567,34.72378761703691
8,Germany,2010,247.36,160.2,1296.9,1799.54,407.56,433.972602739726,52.3,164.8143254554063,33.46230262469936
9,Germany,2011,248.92,163.84,1310.85,1814.39,412.76,429.041095890411,52.3,160.8445550349487,32.72999167642453
10,Italy,2007,239.52,203.4,1407.6,1767.48,442.92,673.1506849315069,44.43,141.7096722126945,47.82258347055321
11,Italy,2008,240.32,202.04,1403.01,1749.63,442.36,675.6164383561644,44.43,138.91158701009488,48.154784239325764
12,Italy,2009,239.72,208.32,1374.57,1776.39,448.04,658.3561643835616,44.43,136.28766050068896,47.89542652491773
13,Italy,2010,245.04,201.56,1408.5,1727.9,446.6,680.5479452054794,44.43,130.56632428429342,48.317213007133795
14,Italy,2011,240.24,199.28,1417.86,1717.62,439.52,690.4109589041095,44.43,129.13282911612478,48.69387378895727
15,Netherlands,2007,282.8,141.28,1184.67,1628.25,424.08,389.5890410958904,60.16,138.28963443075648,32.885870419263625
16,Netherlands,2008,294.64,137.36,1194.3,1601.7,432.0,399.45205479452056,60.16,133.8315187200457,33.446542308843725
