OECD-FAO Agricultural Outlook 2015 - © OECD 2015,,,,,,,,,
A.10.2,"Vegetable oil projections: Consumption, per capita food use",,,,,,,,
A.10.2,"Vegetable oil projections: Consumption, per capita food use",,,,,,,,
 ,Marketing year,,,,,,,,
 , ,CONSUMPTION (kt),,Growth (%)  (1),,PER CAPITA FOOD USE (kg),,Growth (%)  (1),
,,"Average
2012-14est",2024,2005-14,2015-24,"Average
2012-14est",2024,2005-14,2015-24
 ,WORLD,167 529,210 405,4.32,1.81,19.1,21.0,1.75,0.78
 ,DEVELOPED COUNTRIES,48 824,50 364,1.94,0.13,25.8,26.0,-0.16,-0.14
 ,NORTH AMERICA,15 792,17 382,1.61,0.83,37.9,38.8,-0.95,0.08
 ,Canada,1 108,1 369,2.29,0.44,26.5,28.9,-1.26,-0.45
 ,United States,14 684,16 013,1.56,0.87,39.2,39.9,-0.92,0.12
 ,EUROPE,27 617,26 619,2.20,-0.59,23.2,22.1,0.07,-0.71
 ,European Union,22 535,21 044,2.15,-0.86,24.0,21.5,-0.79,-1.31
 ,Russian Federation,3 387,3 499,2.22,0.18,23.7,25.4,2.32,0.53
 ,Ukraine,799,1 101,1.00,1.70,16.1,20.7,0.42,1.45
 ,OCEANIA DEVELOPED,728,974,2.00,1.79,25.4,28.1,0.23,0.01
 ,Australia,641,879,2.49,1.90,26.6,29.7,0.59,0.00
 ,New Zealand,87,95,-1.07,0.81,19.4,19.1,-2.11,-0.09
 ,OTHER DEVELOPED  (2),4 687,5 388,1.63,1.41,17.1,18.2,0.83,0.59
 ,Japan,2 236,2 263,-0.40,-0.13,17.6,18.3,-0.40,0.15
 ,South Africa,1 246,1 592,4.72,2.79,22.0,23.4,2.97,0.55
 ,DEVELOPING COUNTRIES,118 705,160 041,5.44,2.40,17.5,20.0,2.66,1.13
 ,AFRICA,12 347,16 889,3.68,2.83,11.5,12.0,0.99,0.40
 ,NORTH AFRICA,3 479,4 459,2.58,1.96,20.1,22.2,1.00,0.67
 ,Algeria,620,804,1.21,2.27,15.7,17.3,-0.61,0.89
 ,Egypt,1 832,2 383,3.75,2.11,22.1,24.6,2.03,0.71
 ,SUB-SAHARAN AFRICA,8 868,12 430,4.14,3.16,9.8,10.3,1.21,0.53
 ,LATIN AMERICA and CARIBBEAN,18 120,22 667,6.92,1.45,20.0,21.6,0.82,0.72
 ,Argentina,3 384,3 830,14.49,1.11,29.7,30.6,0.46,0.26
 ,Brazil,6 718,9 024,7.68,1.42,21.1,24.2,0.31,1.56
 ,Chile,436,520,1.79,0.82,24.5,26.8,0.84,0.07
 ,Mexico,2 382,2 688,3.43,1.12,19.5,19.6,2.15,0.12
 ,Uruguay,146,193,7.86,2.42,16.6,19.1,2.16,1.11
 ,ASIA and PACIFIC,88 238,120 485,5.42,2.53,18.6,22.1,3.37,1.46
 ,Bangladesh,1 893,2 935,4.58,4.06,12.0,16.5,3.42,3.00
 ,China  (3),31 330,38 755,4.49,1.73,22.2,26.3,3.71,1.37
 ,India,18 885,27 284,5.74,3.15,14.8,19.0,4.33,2.05
 ,Indonesia,10 814,18 913,11.77,3.66,19.6,24.1,2.13,1.82
 ,"Iran, Islamic Republic of",1 739,2 113,3.42,2.87,22.2,24.0,2.14,1.82
 ,Korea,1 073,1 254,3.89,1.45,21.8,24.4,3.29,1.07
 ,Malaysia,4 335,6 222,2.79,2.75,24.8,25.5,2.77,0.03
 ,Pakistan,3 762,4 888,4.00,2.83,19.8,21.0,1.77,0.94
 ,Saudi Arabia,512,630,4.05,1.58,17.6,18.4,2.13,0.18
 ,Turkey,2 283,2 685,2.41,1.18,30.0,31.8,1.33,0.30
 ,LEAST DEVELOPED COUNTRIES (LDC),8 064,11 389,3.52,3.28,8.8,9.8,1.11,1.12
 ,OECD  (4),48 032,49 457,1.98,0.09,27.1,26.9,-0.26,-0.25
 ,BRICS,61 565,80 153,5.04,2.10,19.1,22.9,3.44,1.50
Note: Average 2012-14est: Data for 2014 are estimated.,,,,,,,,,
Disclaimer: http://oe.cd/disclaimer,,,,,,,,,
1.,Least-squares growth rate (see glossary).,,,,,,,,
2.,"Includes Israel and also transition economies: Kazakhstan, Kyrgyzstan, Tajikistan, Turkmenistan, Uzbekistan, Armenia, Azerbaijan and Georgia.",,,,,,,,
3.,"Refers to mainland only. The economies of Chinese Taipei, Hong Kong (China) and Macau (China) are included in the Other Asia Pacific aggregate.",,,,,,,,
4.,Excludes Iceland but includes all EU28 member countries.,,,,,,,,
"Source: OECD/FAO (2015), “OECD-FAO Agricultural Outlook”, OECD Agriculture statistics (database). doi: dx.doi.org/10.1787/agr-outl-data-en",,,,,,,,,
